# Capture histories exported from 'msCH' 
# Sat Sep 30 1:09:23 pm 2023 
# Session ID Occasion Detector sex 
1 1 3 H4 f
1 10 2 A1 f
1 11 4 D2 m
1 12 1 B3 f
1 12 3 B3 f
1 13 2 A1 m
1 14 1 H5 m
1 15 1 E2 f
1 15 3 D2 f
1 16 2 A6 f
1 16 3 B5 f
1 17 1 C3 f
1 17 4 D5 f
1 18 3 H4 f
1 18 4 F4 f
1 19 1 E8 m
1 19 2 G7 m
1 19 3 F8 m
1 2 1 G3 m
1 2 3 G3 m
1 2 4 G3 m
1 20 2 A4 m
1 21 3 G1 f
1 22 1 E2 f
1 22 4 F1 f
1 23 2 A7 m
1 24 2 B4 m
1 24 4 C4 m
1 25 2 E6 f
1 25 3 G5 f
1 26 4 C2 f
1 27 1 D1 m
1 27 2 E2 m
1 27 4 C2 m
1 28 2 A4 m
1 28 4 A6 m
1 29 1 F3 m
1 29 3 G4 m
1 29 4 H6 m
1 3 1 C6 m
1 3 2 B7 m
1 3 3 A7 m
1 3 4 B8 m
1 30 2 D2 m
1 31 1 B1 f
1 4 1 A4 f
1 5 3 H8 m
1 6 4 H6 m
1 7 1 E4 f
1 7 4 F6 f
1 8 1 H8 m
1 9 4 D7 f
2 1 2 A8 m
2 1 4 A8 m
2 10 4 A5 f
2 11 2 A6 f
2 11 4 C8 f
2 12 3 B4 m
2 13 1 B3 f
2 13 2 A3 f
2 14 1 A5 m
2 15 1 E1 f
2 16 1 D4 m
2 17 1 H7 f
2 17 2 H8 f
2 17 4 H7 f
2 18 2 C1 f
2 18 3 A2 f
2 19 1 C8 m
2 2 4 D6 m
2 20 2 A8 f
2 20 3 B8 f
2 20 4 B8 f
2 21 2 A8 f
2 22 2 E4 m
2 22 3 F5 m
2 22 4 F4 m
2 23 1 F3 m
2 23 2 G5 m
2 23 3 F5 m
2 24 2 G2 f
2 24 3 F1 f
2 24 4 F1 f
2 25 1 F7 m
2 25 2 F7 m
2 25 3 F6 m
2 26 2 C1 f
2 26 3 B1 f
2 27 1 H6 m
2 28 1 C4 f
2 29 1 E4 f
2 29 3 E5 f
2 3 1 F2 m
2 30 2 A3 f
2 30 4 A1 f
2 31 1 H2 f
2 31 2 H2 f
2 31 3 G2 f
2 4 3 A8 m
2 5 1 C5 m
2 5 2 B6 m
2 5 3 A8 m
2 6 1 D2 f
2 6 4 B1 f
2 7 4 D8 f
2 8 1 D3 f
2 9 2 E7 m
3 1 4 D6 m
3 10 3 A1 m
3 11 2 G3 m
3 11 4 H6 m
3 12 1 F7 m
3 12 4 G6 m
3 13 1 F2 m
3 13 2 G4 m
3 13 3 D1 m
3 14 1 A1 f
3 15 4 E8 m
3 16 1 E2 f
3 16 2 E2 f
3 16 4 D3 f
3 17 3 A1 f
3 17 4 B2 f
3 18 2 H5 f
3 19 4 A7 m
3 2 3 D8 f
3 20 2 A8 m
3 20 3 A8 m
3 21 4 C7 m
3 22 3 H1 m
3 23 2 A4 f
3 24 1 D5 m
3 24 2 D4 m
3 24 4 D7 m
3 25 2 H6 f
3 26 4 H3 m
3 27 2 E3 m
3 27 3 D3 m
3 3 1 D5 f
3 3 2 B4 f
3 3 3 A2 f
3 4 4 G2 m
3 5 3 C2 f
3 6 1 F1 f
3 6 4 G2 f
3 7 2 B8 m
3 7 3 D7 m
3 8 4 C4 m
3 9 4 B7 m
