# Capture histories exported from 'msCH' 
# Thu Jan 24 8:33:58 p.m. 2019 
# Session ID Occasion Detector
1 19 2 A1
1 28 2 A5
1 37 2 A6
1 24 3 A6
1 25 1 A7
1 7 1 B2 
1 17 4 B5
1 22 1 B7
1 31 3 B8
1 1 1 C1
1 11 3 C3
1 24 4 C5
1 14 1 C6
1 25 2 C7
1 35 1 C8
1 1 2 D1
1 33 4 D1
1 10 2 D3
1 13 3 D5
1 32 2 D6
1 36 4 D6
1 15 2 E1
1 29 1 E2
1 8 3 E2
1 27 3 E2
1 27 2 E3
1 6 3 E3
1 12 1 E4
1 13 4 E4
1 16 4 E5
1 9 1 E6
1 12 3 E6
1 36 1 E7
1 30 1 F1
1 8 4 F1
1 29 3 F2
1 33 2 F3
1 32 1 F7
1 9 2 F7
1 39 1 F8
1 21 3 F8
1 38 3 F8
1 20 3 G1
1 6 1 G2
1 20 1 G2
1 20 2 G2
1 33 3 G2
1 23 4 G2
1 6 2 G3
1 18 4 G3
1 12 4 G4
1 27 4 G4
1 32 4 G4
1 16 3 G6
1 3 1 G7
1 26 2 G8
1 2 2 H2
1 5 4 H2
1 20 4 H3
1 4 1 H4
1 16 1 H6
1 34 1 H7
1 38 1 H8
2 20 3 A2
2 14 1 A8
2 25 1 A8
2 11 3 A8
2 9 1 B5
2 11 1 B8
2 21 2 C2
2 23 1 C3
2 9 3 C3
2 21 3 C3
2 9 2 C4
2 28 4 D1
2 3 1 D3
2 19 4 D3
2 3 2 D4
2 24 1 D5
2 24 3 D6
2 26 4 E1
2 5 1 E2
2 28 1 E2
2 23 3 E2
2 19 1 E3
2 19 2 E3
2 17 2 E4
2 24 4 E5
2 22 2 E6
2 6 4 E6
2 2 3 F1
2 17 3 F2
2 23 2 F3
2 5 4 F3
2 16 2 F4
2 22 4 F7
2 26 3 G1
2 29 1 G2
2 3 3 G5
2 7 2 G6
2 8 2 G7
2 26 1 H1
2 2 2 H1
2 12 2 H1
2 1 4 H1
2 15 1 H5
2 27 1 H5
2 10 2 H6
2 27 4 H6
2 13 1 H8
2 13 2 H8
2 10 3 H8
2 13 3 H8
2 18 3 H8
2 4 4 H8
3 25 1 A5
3 16 4 A5
3 21 3 A6
3 6 1 A7
3 15 4 A7
3 16 1 B3
3 18 1 B3
3 18 4 B3
3 18 3 B4
3 22 3 B4
3 1 2 B7
3 6 3 B7
3 28 2 B8
3 15 3 B8
3 21 4 B8
3 13 1 C1
3 20 2 C1
3 2 3 C1
3 23 3 C2
3 23 1 C4
3 21 2 C5
3 8 3 C7
3 28 3 C8
3 6 4 C8
3 22 1 E2
3 9 2 E5
3 26 2 E5
3 9 1 E6
3 19 3 E6
3 11 2 E7
3 3 1 E8
3 8 4 E8
3 26 1 F2
3 12 2 F2
3 12 4 F2
3 14 3 F3
3 24 3 F3
3 12 1 F4
3 27 3 F6
3 9 4 F7
3 5 1 G1
3 10 2 G3
3 19 1 G6
3 4 2 G6
3 29 3 G7
3 7 2 G8
3 31 4 H2
3 17 3 H3
3 17 4 H5
3 30 4 H6
4 NONE 4 0
